author,binding,category,depth,height,isbn10,isbn13,language,noOfPages,price,publisher,publisherDate,returnable,subTitle,title,url,weight,width
Abhishek Singh, Paper Back,Home::Fiction::Graphic novels,,, 9388810392, 9789388810395, English, 120,₹896, Wonder House Books, 30 Aug 2019, Y, Illustrated Stories Hardcover Edition Special Print,Namaha - Stories From The Land Of Gods And Goddesses,https://www.bookswagon.com/book/namaha-stories-from-land-gods/9789388810395,,
B. Mahadevan, Paperback,"Home::Society & social sciences::Education::Higher & further education, tertiary education",, 186 mm, 939181820X, 9789391818203, English, 448,₹596, PHI Learning, 30 May 2022,,,Introduction To Indian Knowledge System,https://www.bookswagon.com/book/introduction-indian-knowledge-system-b/9789391818203, 719 gr, 241 mm
 Agatha Christie, Paperback,Home::General,, 195 mm, 0007527527, 9780007527526, English, 336,₹259, HarperCollins Publishers, 26 Sep 2013, Y,,The Murder of Roger Ackroyd,https://www.bookswagon.com/book/murder-roger-ackroyd-agatha-christie/9780007527526, 218 gr, 130 mm
Sally Rooney, Paperback,Home::Fiction::Modern & contemporary fiction,, 198 mm, 0571334652, 9780571334650,, 288,₹395, Faber & Faber, 02 May 2019,,,Normal People,https://www.bookswagon.com/book/normal-people-sally-rooney/9780571334650, 256 gr, 129 mm
Wonder House Books, Paperback,Home::General,, 0.2 mm, 938777998X, 9789387779983, English, 16,₹41, Wonder House Books, 15 Jul 2018,,,Little Artist Series Cars: Copy Colour Books,https://www.bookswagon.com/book/little-artist-series-cars-wonder/9789387779983, 110 gr, 21.5 mm
Dushyant Kumar, Paperback,Home::General,, 219.96 mm, 8183619533, 9788183619530, Hindi, 63,₹119, Radhakrishna Prakashan, 2008,,,Saaye Mein Dhoop,https://www.bookswagon.com/book/saaye-mein-dhoop-dushyant-kumar/9788183619530, 81.65 gr, 134.11 mm
AMITAV GHOSH,,Home::Society & social sciences::Politics & Current Events::Political structure & processes::Constitution: government & the state,, 0 mm, 0008279489, 9780008279486, English, 600,₹324, HarperCollins, 01 Jan 1900, Y,,GLASS PALACE IN ONLY PB,https://www.bookswagon.com/book/glass-palace-in-only-pb/9780008279486, 0 gr, 0 mm
Peter Lynch, Paperback,Home::Fiction::Modern & contemporary fiction,, 216 mm, 9390924774, 9789390924776, Hindi, 328,₹329, Manjul Publishing House, 29 Sep 2021, N, How to Use What You Already Know to Make Money in the Market NEW,One Up on Wall Street,https://www.bookswagon.com/book/one-up-wall-street-peter/9789390924776, 417 gr, 140 mm
J. K. Rowling, PAPERBACK,Home::Fiction::Fantasy, 20, 129 mm, 1408855666, 9781408855669, ENGLISH, 384,₹388, Bloomsbury Publishing PLC, 01 Sep 2014, Y,,Harry Potter and the Chamber of Secrets,https://www.bookswagon.com/book/harry-potter-chamber-secrets-jk/9781408855669, 300 gr, 197 mm
Om Books Editorial Team, Paperback,Home::General,, 46.999906 mm, 938631617X, 9789386316172, English, 28,₹221, Om Books International, 11 Jan 2021,,,Board Book : My first book of Bible Stories (Padded Board Book) (My First Board Books),https://www.bookswagon.com/book/board-book-om-books-editorial/9789386316172,, 253.999492 mm
Lt Gen Dhillon, Hardback,Home::Biographies & Memoirs::Memoirs,,, 0670097055, 9780670097050, English, 320,₹489, Penguin Random House India Pvt. Ltd, 08 Aug 2023, Y, A True Life Account of Bravery and Sacrifice of an Army Soldier Who Served India for More Than 40 Years.,"Kitne Ghazi Aaye, Kitne Ghazi Gaye (Signed by the Author)",https://www.bookswagon.com/book/aaye-kitne-ghazi-gaye-signed/9780670097050,,
Wonder House Books, Board Book,Home::Children & Teens::Children’s & young adult general non-fiction::Science & technology: general interest (children’s/ya)::Transport (children’s/ya),, 0.8 mm, 9389432367, 9789389432367, English, 10,₹239, Wonder House Books, 14 Oct 2019, Y, Early Learning Board Books with Tabs,Seek And Find - Vehicles : Early Learning Board Books With Tabs,https://www.bookswagon.com/book/seek-find-vehicles-wonder-house/9789389432367, 159 gr, 19.6 mm
Elif Shafak, Paperback,Home::Fiction::Modern & contemporary fiction,, 130 mm, 0241972930, 9780241972939, English, 368,₹395, Penguin Books Ltd, 02 Apr 2015, Y,,The Forty Rules of Love,https://www.bookswagon.com/book/rty-rules-love-elif-shafak/9780241972939, 260 gr, 197 mm
Dani Dipirro, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development",, 211 mm, 0593538382, 9780593538388, English, 160,₹396, Penguin Publishing Group, 06 Sep 2022, Y, A Journal and Coloring Book to Distract Your Anxious Mind,Out of Your Mind,https://www.bookswagon.com/book/out-your-mind-dani-dani/9780593538388, 227 gr, 155 mm
Periyar E. V. Ramasamy, Paperback,Home::General,, 39.99992 mm, 8183619657, 9788183619653, Hindi, 152,₹119, Radhakrishna Prakashan, 01 Jan 2020,,,Sachchi Ramayan,https://www.bookswagon.com/book/sachchi-ramayan-periyar-e-v/9788183619653,, 139.99972 mm
Wonder House Books, Hardcover,Home::General,, 1.5 mm, 9389567416, 9789389567410, English, 10,₹119, Wonder House Books, 07 Dec 2019,,,My First Pop Up Fairy Tales - The Ugly Duckling : Pop up Books for children,https://www.bookswagon.com/book/my-first-pop-up-fairy/9789389567410, 140 gr, 19.6 mm
H.G. Wells, Paperback,"Home::Children & Teens::Children’s & young adult fiction & true stories::Horror & ghost stories, chillers (children’s/ya)",, 9.906 mm, 8175994320, 9788175994324, English, 160,₹107, Fingerprint! Publishing, 2017-02, Y,,The Invisible Man,https://www.bookswagon.com/book/invisible-man-hg-h-g/9788175994324, 700 gr, 119.9 mm
J. R. R. Tolkien, Mixed media product,Home::Fiction::Classic fiction,, 198 mm, 0008537755, 9780008537753,, 1600,"₹1,167", HarperCollins Publishers, 15 Sep 2022,,,The Lord of the Rings Boxed Set,https://www.bookswagon.com/book/lord-rings-boxed-set-j/9780008537753, 832 gr, 129 mm
"Goscinny, Rene|Uderzo, Albert", Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Picture books",,, 1408726661, 9781408726662, English,,"₹12,958", Sphere, 30 Jan 2022,,,The Complete Asterix Box Set (All New Complete Set of 39 Books),https://www.bookswagon.com/book/asterix-box-all-new-complete/9781408726662,,
author,binding,category,depth,height,isbn10,isbn13,language,noOfPages,price,publisher,publisherDate,returnable,subTitle,title,url,weight,width
Au, Hardback,Home::General, 8, 292 mm, 0723296235, 9780723296232,, 24,₹489, Penguin Books Ltd, 24 Sep 2014, Y,,Peppa Pig: Peppa's Super Noisy Sound Book,https://www.bookswagon.com/book/peppa-pig-au-peppa-pig/9780723296232, 616 gr, 306 mm
 Charles Darwin, PAPERBACK,Home::General,,, 8172344880, 9788172344887, ENGLISH, 500,₹269, Prakash Books India Pvt. Ltd., 05 Dec. 2013, Y, Deluxe Hardbound Edition,The Origin of Species,https://www.bookswagon.com/book/origin-species-charles-darwin/9788172344887, 700 gr,
Geoffrey Harpham, Paperback,Home::General,, 241 mm, 8131526356, 9788131526354, English, 444,₹298, Cengage Learning India," February, 2015",,,"A Glossary of Literary Terms, 11E",https://www.bookswagon.com/book/glossary-literary-terms-11e-geoffrey/9788131526354,, 155 mm
R.K. Gupta, Paperback,Home::Society & social sciences::Education,, 216 mm, 9387918572, 9789387918573, English, 458,₹168, Repro Books Limited, 01 Oct 2020, N," Handbook of NCC Cadets for 'A', 'B' and 'C' Certificate Examinations",Ncc,https://www.bookswagon.com/book/ncc-rk-r-k-gupta/9789387918573, 525 gr, 140 mm
Wonder House Books, Board book,Home::Children & Teens,, 6 mm, 935440393X, 9789354403934, English, 10,₹77, Wonder House Books, 15 Dec 2021,,,"MyÂ FirstÂ ShapedÂ BoardÂ BookÂ - Dog, Die-Cut Animals, Picture Book for Children",https://www.bookswagon.com/book/my%C3%A2first%C3%A2shaped%C3%A2board%C3%A2book%C3%A2-dog-diecut-animals-picture/9789354403934,, 165 mm
Wonder House Books, Box Set,Home::General,, 1.3 mm, 9388810554, 9789388810555, Hindi, 128,₹417, Wonder House Books, 19 May 2019, Y," Four Hindi Workbooks to Practice Words and Sentences (Shabd Gyan, Maatra Gyan, Sayukt Akshar Gyan, Vaakya Gyan)","Meri Pratham Hindi Sulekh Boxset  : Four Hindi Workbooks To Practice Words And Sentences (Shabd Gyan, Maatra Gyan, Sayukt Akshar Gyan, Vaakya Gyan)",https://www.bookswagon.com/book/meri-pratham-hindi-sulekh-boxset/9789388810555, 520 gr, 22.0 mm
"Garcia, Hector|Francesc Miralles", Hardcover,Home::General,, 190 mm, 0804855331, 9780804855334, English, 224,₹396, Tuttle Publishing, 30 Oct 2021,,,The Ikigai Journey: A Practical Guide to Finding Happiness and Purpose Japanese Way: (SEQUEL TO Ikigai: The Japanese secret to a long and happy life),https://www.bookswagon.com/book/ikigai-journey-garcia-hectorfrancesc-miralles/9780804855334,,
Jeff Kinney , Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Family & home stories (children’s/ya),, 198 mm, 0241454131, 9780241454138, English, 224,₹269, Puffin, 30 Sep 2021,,,Diary of a Wimpy Kid: The Deep End (Book 15),https://www.bookswagon.com/book/diary-wimpy-kid-kinney-jeff/9780241454138, 164 gr, 198 mm
Mahesh Chander Kaushik, Paperback,Home::Fiction::Modern & contemporary fiction,, 216 mm, 9390378931, 9789390378937, Hindi, 152,₹207, Prabhat Prakashan Pvt. Ltd., 09 Mar 2021, N,,ऑप्शन ट्रेडिंग से पैसों का पेड़ कैसे लगाए,https://www.bookswagon.com/book/23212346238123582344-23352381235223752337236723062327-2360-mahesh-kaushik/9789390378937, 199 gr, 140 mm
R S Sharma, Paperback,Home::History & Humanities::History::Regional & national history::Asian history, 25, 211 mm, 019568785X, 9780195687859, English, 320,₹379," Oxford University Press, USA", 15 Feb 2007, Y,,India's Ancient Past,https://www.bookswagon.com/book/indias-ancient-past-r-s/9780195687859, 430 gr, 137 mm
Mahesh Chander Kaushik, Paperback,Home::Business & Economics::Business & management::Business studies: general,, 216 mm, 9390378540, 9789390378548, English, 162,₹207, Prabhat Prakashan Pvt. Ltd., 09 Mar 2021, N,,Option​s Trading Handbook,https://www.bookswagon.com/book/option8203s-trading-handbook-chander-mahesh/9789390378548, 213 gr, 140 mm
Wonder House Books, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Interactive & activity books & packs::Colouring & painting activity books",, 1.0 mm, 9390183545, 9789390183548, English, 96,₹207, Wonder House Books, 12 Aug 2020, Y, Fun Activity Colouring Book for Children,101 Unicorn Colouring Book: Fun Activity Colouring Book For Children,https://www.bookswagon.com/book/101-unicorn-colouring-book-wonder/9789390183548, 294 gr, 27.6 mm
Wonder House Books, Hardcover,Home::Fiction::Classic fiction,, 1.1 mm, 938956784X, 9789389567847, English, 80,₹239, Wonder House Books, 14 Dec 2019, Y, Classic Tales from India,The Illustrated Stories Of Tenali Raman: Classic Tales From India,https://www.bookswagon.com/book/illustrated-stories-tenali-raman-wonder/9789389567847, 700 gr, 17.5 mm
Wonder House Books, Paperback,Home::General,, 0.0 mm, 9388369475, 9789388369473, English, 8,₹29, Wonder House Books, 01 Feb 2019,,,My first picture book of Vegetables: Picture Books for Children,https://www.bookswagon.com/book/my-first-picture-book-vegetables/9789388369473, 110 gr, 18.5 mm
"Laxmikanth, M", Paperback,Home::General,, 40 mm, 9354600514, 9789354600517, Hindi, 736,₹725, McGraw Hill, 29 Sep 2021,,,Bharat Ki Rajvyavastha( Indian Polity) - Civil Seva Evam Anya Rajya Parikshao Hetu |6th Revised Edition,https://www.bookswagon.com/book/bharat-ki-rajvyavastha-indian-polity/9789354600517,, 140 mm
Dale Carnegie, Paperback,Home::General,, 39.99992 mm, 9387944867, 9789387944862, English,,₹119, Jaico Publishing House, 21 Nov 2018,,,How to Win Friends and Influence People,https://www.bookswagon.com/book/how-win-friends-influence-people/9789387944862, 265.9999998 gr, 139.99972 mm
J. R. R. Tolkien, Mixed media product,Home::Fiction::Classic fiction,, 139 mm, 0008387753, 9780008387754,, 1600,"₹1,427", HarperCollins Publishers, 30 Apr 2020,,,The Hobbit & The Lord of the Rings Boxed Set,https://www.bookswagon.com/book/hobbit-lord-rings-boxed-set/9780008387754, 1180 gr, 210 mm
Dreamland Publications, Paperback,Home::General,, 280 mm, 9350897601, 9789350897607, English, 64,₹207, Dreamland Publications, 2016,,,Refreshing Mandala- Colouring Book for Adults Book 1,https://www.bookswagon.com/book/refreshing-mandala-colouring-adults-book/9789350897607, 325 gr, 280 mm
Bessel Van Der Kolk, Paperback,"Home::Parenting, Family & Health::Family & health", 22, 131 mm, 0141978619, 9780141978611, English, 464,₹489, Penguin Books Ltd, 24 Sep 2015, Y,,The Body Keeps the Score,https://www.bookswagon.com/book/body-keeps-score-bessel-a/9780141978611, 385 gr, 197 mm
 Agatha Christie, Paperback,Home::General, 22, 198 mm, 0008123209, 9780008123208, English, 256,₹259, HarperCollins Publishers, 23 Nov 2015, Y,,And Then There Were None,https://www.bookswagon.com/book/and-then-there-were-none/9780008123208, 180 gr, 129 mm
"Singhania, Nitin", Paperback,Home::General,, 47 mm, 9354601804, 9789354601804, English, 632,₹685, McGraw Hill, 31 Dec 2021,,,Indian Art and Culture for Civil Services and other Competitive Examinations | 4th Edition,https://www.bookswagon.com/book/indian-art-culture-civil-services/9789354601804,, 254 mm
Wonder House Books, PAPERBACK,Home::General,, 1.1 mm, 9388369041, 9789388369046, ENGLISH, 160,₹95,, 20 May 2019, Y, Biographies of Inspirational Personalities for Kids,World's Greatest Leaders: Biographies of Inspirational Personalities For Kids,https://www.bookswagon.com/book/worlds-greatest-leaders-wonder-house/9789388369046, 700 gr, 14.0 mm
various, Hardcover,Home::Children & Teens::Children’s & young adult fiction & true stories::General fiction (children’s/ya),, 4.8 mm, 9389432936, 9789389432930, English, 696,₹586, Fingerprint! Publishing, 01 Sep 2019, Y, Deluxe Hardbound Edition,World's Greatest Short Stories (Deluxe Hardbound Edition),https://www.bookswagon.com/book/worlds-greatest-short-stories-deluxe/9789389432930, 657 gr, 14.4 mm
Anne Frank , PAPERBACK,Home::General,, 21 mm, 8172345194, 9788172345198, ENGLISH, 280,₹119,, 23 Apr. 2014,,,The Diary Of A Young Girl,https://www.bookswagon.com/book/diary-a-young-girl-anne/9788172345198, 700 gr, 5.5 mm
NA, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development::Advice on careers & achieving success",, 197 mm, 0143459686, 9780143459682, English, 224,₹205, Penguin eBury Press, 02 Oct 2014, Y, Things You Wish You Were Taught in School,"Build, Don't Talk",https://www.bookswagon.com/book/build-dont-talk-na-raj/9780143459682, 100 gr, 127 mm
Brian Tracy, Paperback,Home::General,, 12 mm, 152309513X, 9781523095131, English, 144 ,₹303, Berrett Koehler Publishers, 30 May 2017,,,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,https://www.bookswagon.com/book/eat-that-frog-brian-tracy/9781523095131, 0 gr, 212 mm
"King, Vex", Paperback,Home::General,, 39.99992 mm, 9386832836, 9789386832832, English, 304,₹364, Hay House India, 20 Jan 2019,,,"Good Vibes, Good Life: How Self-love Is the Key to Unlocking Your Greatness",https://www.bookswagon.com/book/vibes-good-life-king-vex/9789386832832, 192.7767573 gr, 139.99972 mm
Dale Carnegie, Paperback,Home::General,, 47 mm, 9390441927, 9789390441921, English, 208,₹119, Srishti Publishers & Distributors, 10 Feb 2022,,,How To Stop Worrying And Start Living,https://www.bookswagon.com/book/how-stop-worrying-start-living/9789390441921,, 254 mm
various, Paperback,Home::General,, 10.2 mm, 9390391628, 9789390391622, Tamil, 1112,₹551, Fingerprint! Publishing, 01 Sep 2020, Y,,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) Tamil,https://www.bookswagon.com/book/worlds-greatest-personal-growth-wealth/9789390391622, 700 gr, 20.3 mm
Yogananda Paramahamsa, PAPERBACK,Home::Biographies & Memoirs::Biography: general::Biography: religious & spiritual,, 183 mm, 818953551X, 9788189535513, ENGLISH, 530,₹108, Yogoda Satsanga Society Of India, 30 Jan 2010, Y,,Autobiography of a Yogi,https://www.bookswagon.com/book/autobiography-a-yogi-yogananda-paramahamsa/9788189535513, 414 gr, 127 mm
Wonder House Books, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts",, 1.2 mm, 9388810600, 9789388810609, English, 192,₹303, Wonder House Books, 25 Mar 2019, Y," Interactive Activity Book for Children to Practice Patterns, Numbers 1-20 and Alphabet","My Big Book Of Patterns And Pencil Control : Interactive Activity Book For Children To Practice Patterns, Numbers 1-20 And Alphabet",https://www.bookswagon.com/book/my-big-book-patterns-pencil/9789388810609, 700 gr, 21.5 mm
Jay Shetty, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development::Popular psychology::Assertiveness, motivation & self-esteem",, 216 mm, 0008386595, 9780008386597, ENGLISH, 320,₹324,, 14 Apr 2020, Y,,Think Like A Monk,https://www.bookswagon.com/book/think-like-a-monk-jay/9780008386597, 304 gr, 135 mm
William Walker Atkinson, Paperback,Home::General,, 1.5 mm, 8194932319, 9788194932314, Hindi, 184,₹89, Fingerprint! Publishing, 01 Jan 2021,,,"Memory: How To Develop, Train, And Use It (Hindi)",https://www.bookswagon.com/book/memory-william-walker-atkinson/9788194932314, 700 gr, 19.7 mm
Kentaro Miura, Paperback,Home::Fiction::Graphic novels::Graphic novels: manga, 19, 178 mm, 1593070209, 9781593070205, English, 224,₹689, Dark Horse Manga, 04 Nov 2003, Y,,Berserk Volume 1,https://www.bookswagon.com/book/berserk-volume-1-kentaro-kenturo/9781593070205, 198 gr, 143 mm
Wonder House Books, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Interactive & activity books & packs::Colouring & painting activity books",, 0.8 mm, 9390183588, 9789390183586, English, 32,₹119, Wonder House Books, 12 Aug 2020, Y, Jumbo Sized Colouring Book for Children,I Am Born To Be A Unicorn Coloring book - Giant book Series: Jumbo Sized Colouring Book For Children,https://www.bookswagon.com/book/i-am-born-unicorn-coloring/9789390183586, 700 gr, 27.6 mm
Wonder House Books, Paperback,Home::General,, 23 mm, 9354402712, 9789354402715, English, 48,₹83, Wonder House Books, 12 Oct 2021,,,My First Times Tables Activity Book : Multiplication Tables From 1 - 20 with Fun and Easy Math Activities for Children,https://www.bookswagon.com/book/my-first-times-tables-activity/9789354402715,, 140 mm
"Naidu, Shantanu", Paperback,Home::Art & Photography,, 47 mm, 935489741X, 9789354897412, English, 232,₹194, HarperCollins India, 01 Feb 2022,,,I Came Upon a Lighthouse: A Short Memoir of Life with Ratan Tata,https://www.bookswagon.com/book/i-came-upon-lighthouse-naidu/9789354897412, 200 gr, 254 mm
Dreamland Publications, Paperback,Home::Children & Teens,, 220 mm, 9387177637, 9789387177635,, 64p,₹207, Dreamland Publications, 2018,,,Mandala Colouring For Kids Pack (2 Titles),https://www.bookswagon.com/book/mandala-colouring-kids-pack-2/9789387177635,, 280 mm
Saranya Umakanthan, Paperback,Home::Fiction::Romance,, 197 mm, 9354400701, 9789354400704, English, 248,₹119, Fingerprint! Publishing, 08 Apr 2022,,,Your Time Will Come,https://www.bookswagon.com/book/your-time-come-saranya-umakanthan/9789354400704,, 13 mm
 Dale Carnegie, Paperback,Home::Fiction::Modern & contemporary fiction,, 190 mm, 8183227422, 9788183227421, Hindi, 352,₹105, Manjul, 2016, N,,Lokvyavahar,https://www.bookswagon.com/book/lokvyavahar-dale-carnegie/9788183227421, 335 gr, 120 mm
Shravya Bhinder, Paperback,Home::Fiction::Modern & contemporary fiction,, 196 mm, 0143445901, 9780143445906, English, 256,₹205, Penguin, 01 Feb 2019, Y,,Something I Never Told You,https://www.bookswagon.com/book/something-i-never-told-you/9780143445906, 204 gr, 130 mm
Michelle Obama, Paperback,"Home::Biographies & Memoirs::Biography: general::Biography: historical, political & military::Autobiography: historical, political & military",, 198 mm, 0241982979, 9780241982976, English, 464,₹489, Penguin, 02 Mar 2021,,,Becoming,https://www.bookswagon.com/book/becoming-obama-michelle/9780241982976, 376 gr, 29 mm
 Fyodor Dostoevsky, Paperback,Home::Fiction::Crime & mystery,, 137 mm, 9352763343, 9789352763344,, 880,₹257, Om Books International, 30 May 2019,,,The Originals: The Brothers Karamazov,https://www.bookswagon.com/book/originals-fyodor-dostoevsky/9789352763344, 634 gr, 206 mm
Eckhart Tolle , Paperback,"Home::Parenting, Family & Health::Body, Mind & Spirit::Mind, body, spirit: thought & practice",, 151 mm, 8190105914, 9788190105910, English, 195,₹413, Yogi Impressions Books Pvt Ltd, 30 Nov 2006, Y,,The Power of Now,https://www.bookswagon.com/book/power-now-eckhart-tolle/9788190105910, 220 gr, 217 mm
"Housel, Morgan", Paperback,Home::General,, 40 mm, 9390166837, 9789390166831, Gujarati, 240,₹267, Jaico Publishing House, 25 Jun 2021,,,The Psychology of Money (Gujarati),https://www.bookswagon.com/book/psychology-money-gujarati-housel-morgan/9789390166831,, 140 mm
Michael Swan, Paperback,Home::English Language Teaching::Elt: learning material & coursework,, 234 mm, 0194202461, 9780194202466, English, 768 ,₹547, Oxford University Press, 01 Dec 2016, Y,,"Practical English Usage, 4th edition: International Edition (without online access)",https://www.bookswagon.com/book/practical-english-usage-4th-edition/9780194202466, 864 gr, 157 mm
Wonder House Books, Hardcover,Home::Children & Teens::Children’s & young adult fiction & true stories::Classic fiction (children’s/ya),, 1.1 mm, 9389567831, 9789389567830, English, 80,₹239, Wonder House Books, 14 Dec 2019, Y, Classic Tales from India,The Illustrated Stories Of Akbar and Birbal: Classic Tales From India,https://www.bookswagon.com/book/illustrated-stories-akbar-birbal-wonder/9789389567830, 700 gr, 17.5 mm
Dreamland Publications, Paperback,Home::General,,, 9389281393, 9789389281392, English, 280,₹626, Dreamland Publications, 25 Jun 2021,,,"Phonics Reader 5 Books Pack for Children Age 3 -10 Years -Alphabet Sounds, A to Z, Short and Long Vowel Sounds, Word Families Short and Long Vowel Sounds, Blends and Combination Sounds, Tricky Words",https://www.bookswagon.com/book/phonics-reader-5-books-pack/9789389281392,, 175 mm
J. K. Rowling, PAPERBACK,Home::Fiction::Fantasy, 26, 132 mm, 1408855674, 9781408855676, ENGLISH, 320,₹395, Bloomsbury Publishing PLC, 01 Sep 2014, Y,,Harry Potter and the Prisoner of Azkaban,https://www.bookswagon.com/book/harry-potter-prisoner-azkaban-jk/9781408855676, 374 gr, 197 mm
Charles Duhigg, Paperback,"Home::References & Encyclopedias::Interdisciplinary studies::Flags, emblems, symbols, logos",, 199 mm, 1847946240, 9781847946249,, 400,₹455, Cornerstone, 07 Feb 2013, Y,,The Power of Habit,https://www.bookswagon.com/book/power-habit-charles-duhigg/9781847946249, 278 gr, 131 mm
 Ladybird, Board book,"Home::Children & Teens::Picture books,  activity books & early learning material::Interactive & activity books & packs::Novelty, toy & die-cut books",, 182 mm, 0241379105, 9780241379103,, 10,₹270, Penguin Random House Children's UK, 08 Aug 2019,,,Baby Touch: Colours,https://www.bookswagon.com/book/baby-touch-ladybird/9780241379103, 234 gr, 175 mm
Rhonda Byrne, Paperback,"Home::Parenting, Family & Health::Body, Mind & Spirit", 22, 134 mm, 1849838399, 9781849838399, English, 272,₹309, Simon & Schuster Ltd, 05 Mar 2012, Y,,The Magic,https://www.bookswagon.com/book/magic-rhonda-byrne/9781849838399, 328 gr, 210 mm
Roopa Pai, PAPERBACK,Home::General,,, 9351950123, 9789351950127, ENGLISH, 296,₹230, Hachette India, 12 Nov 2019,,,The Gita : For Children,https://www.bookswagon.com/book/gita-roopa-pai/9789351950127, 110 gr,
Bipan Chandra, PAPERBACK,Home::History & Humanities::History::Regional & national history::Asian history,, 217 mm, 0143104098, 9780143104094, English, 788,₹333, Penguin Books India Pvt Ltd, 30 Jan 2008, Y,,India Since Independence,https://www.bookswagon.com/book/india-since-independence-bipan-chandra/9780143104094, 110 gr, 141 mm
Jeff Kinney , Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Humorous stories (children’s/ya),, 198 mm, 0241426693, 9780241426692, English,,₹270, Penguin Random House Children's UK, 03 Sep 2020,,,Diary of a Wimpy Kid: Wrecking Ball (Book 14),https://www.bookswagon.com/book/diary-wimpy-kid-jeff-kinney/9780241426692, 178 gr, 129 mm
B.R. Ambedkar , Paperback,Home::Fiction::Modern & contemporary fiction,, 198 mm, 9387022897, 9789387022898, English, 154,₹104, Repro Books Limited, 28 Jun 2020, N,,Ambedkar's India,https://www.bookswagon.com/book/ambedkars-india-br-b-r/9789387022898, 159 gr, 129 mm
Ajay K Pandey, Paperback,Home::General,, 47 mm, 8194790859, 9788194790853, English, 216,₹193, Srishti Publishers & Distributors, 18 Nov 2020,,,Everything I Never Told You,https://www.bookswagon.com/book/everything-i-never-told-you/9788194790853,, 254 mm
Dreamland Publications, Paperback,Home::Children & Teens,, 220 mm, 9389281059, 9789389281057, English, 88,₹249, Dreamland Publications, 2019,,,Brilliant Brain Activity Book 7+,https://www.bookswagon.com/book/brilliant-brain-activity-book-7/9789389281057, 1300 gr, 280 mm
Salil Desai, Hardback,Home::Business & Economics::Finance & accounting::Finance::Investment & securities,, 216 mm, 0670095303, 9780670095308, English, 256,₹425,, 12-10-20, Y, Consistent Compounding for Extraordinary Wealth Creation,Diamonds in the Dust,https://www.bookswagon.com/book/diamonds-in-dust-salil-desai/9780670095308, 385 gr, 145 mm
Simon Sinek, Paperback,Home::Business & Economics::Business & management::Management & management techniques::Management: leadership & motivation, 22, 128 mm, 0670923176, 9780670923175,, 368,₹413, Penguin Books Ltd, 25 May 2017, Y,,Leaders Eat Last,https://www.bookswagon.com/book/leaders-eat-last-simon-sinek/9780670923175, 262 gr, 196 mm
Markus Zusak, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya), 49, 131 mm, 1909531618, 9781909531611,, 624,₹332, Random House Children's Publishers UK, 08 Sep 2016, Y,,The Book Thief,https://www.bookswagon.com/book/book-thief-markus-zusak/9781909531611, 434 gr, 197 mm
 Ladybird, Board book,Home::General,, 260 mm, 0241379121, 9780241379127,, 12,₹364, Penguin Books Ltd, 13 Jun 2019,,,Baby Touch: Peekaboo,https://www.bookswagon.com/book/baby-touch-ladybird/9780241379127, 558 gr, 260 mm
Wonder House Books, Hardcover,Home::Children & Teens::Children’s & young adult general non-fiction::Humour & jokes (children’s/ya),, 1.2 mm, 9390391709, 9789390391707, English, 160,₹425, Wonder House Books, 12 Oct 2020, Y, Collection of Humorous Stories for Kids,101 Witty Stories Of Akbar and Birbal - Collection Of Humorous Stories For Kids,https://www.bookswagon.com/book/101-witty-akbar-birbal-collection/9789390391707, 700 gr, 27.9 mm
Wonder House Books, Paperback,Home::Children & Teens::Educational material::Educational: english language & literacy::Educational: english language: reading & writing skills,, 0.4 mm, 9389717302, 9789389717303, English, 32,₹77, Wonder House Books, 10 Jan 2020, Y, Tracing and Activity Book,My First 3 Letter Words : Tracing And Activity Book,https://www.bookswagon.com/book/my-first-3-letter-words/9789389717303, 110 gr, 27.9 mm
Issac Pitman, Paperback,Home::General,,, 8177586467, 9788177586466, English, 154,₹117, Pearson Education, 2003,,,Pitman Shorthand Instructor and Key,https://www.bookswagon.com/book/pitman-shorthand-instructor-key-issac/9788177586466, 489 gr,
Au, Hardback,Home::Art & Photography::Industrial / commercial art & design::Illustration & commercial art::Comic book & cartoon art, 140, 240 mm, 1405278455, 9781405278454, English, 1440,"₹6,029", Egmont UK Ltd, 15 Jan 2015, N,,The Tintin Collection,https://www.bookswagon.com/book/tintin-collection-au-herge/9781405278454, 4130 gr, 166 mm
 Ruskin Bond, Paperback,"Home::Children & Teens::Children’s & young adult fiction & true stories::Horror & ghost stories, chillers (children’s/ya)",, 193 mm, 0143428764, 9780143428763, English, 40,₹119, Puffin, 2018, Y,,Wind on Haunted Hill,https://www.bookswagon.com/book/wind-haunted-hill-ruskin-bond/9780143428763,, 130 mm
